classification,month,total_posts,bucket_communication_and_creative_pct_posts,bucket_communication_and_creative_n_posts,bucket_communication_and_creative_total_mentions,bucket_communication_and_creative_avg_mentions_per_post,bucket_data_and_analytics_pct_posts,bucket_data_and_analytics_n_posts,bucket_data_and_analytics_total_mentions,bucket_data_and_analytics_avg_mentions_per_post,bucket_development_and_infrastructure_pct_posts,bucket_development_and_infrastructure_n_posts,bucket_development_and_infrastructure_total_mentions,bucket_development_and_infrastructure_avg_mentions_per_post,bucket_domain_specific_and_industry_pct_posts,bucket_domain_specific_and_industry_n_posts,bucket_domain_specific_and_industry_total_mentions,bucket_domain_specific_and_industry_avg_mentions_per_post,bucket_enterprise_and_operations_pct_posts,bucket_enterprise_and_operations_n_posts,bucket_enterprise_and_operations_total_mentions,bucket_enterprise_and_operations_avg_mentions_per_post,bucket_security_and_compliance_pct_posts,bucket_security_and_compliance_n_posts,bucket_security_and_compliance_total_mentions,bucket_security_and_compliance_avg_mentions_per_post
Both,2023-12,42529,81.09525265113217,34489,86333,2.029979543370406,34.14846340144372,14523,20065,0.47179571586446895,33.08565919725364,14071,23722,0.5577841002609983,79.18596722236592,33677,87480,2.0569493757200967,74.02948576265607,31484,74721,1.756942321709892,18.21815702226716,7748,8592,0.20202685226551295
Both,2024-01,66657,81.85336873846708,54561,134352,2.0155722579774067,36.842342139610246,24558,32928,0.493991628786174,29.549784718784224,19697,32629,0.4895059783668632,79.1979837076376,52791,135113,2.026988913392442,71.24233013786998,47488,110959,1.6646263708237694,16.362872616529398,10907,12070,0.1810762560571283
Both,2024-02,61171,82.3069755276193,50348,129730,2.120776184793448,31.443004037861076,19234,26762,0.4374948913700937,31.28933645027873,19140,30755,0.5027709208611923,78.06476925340439,47753,120626,1.9719474914583708,68.15157509277272,41689,99867,1.6325873371368786,15.178761177682235,9285,10198,0.16671298491115072
Both,2024-03,70279,78.61096486859518,55247,138252,1.9671879224234836,31.744902460194368,22310,32735,0.46578636577071386,30.276469500135175,21278,34672,0.49334794177492564,76.00421178445909,53415,141045,2.006929523755318,66.7980477809872,46945,111040,1.5799883322187283,16.268017473213906,11433,12313,0.17520169609698488
Both,2024-04,69516,82.10915472696934,57079,139690,2.0094654468036137,34.347488348006216,23877,31941,0.459476954945624,28.584786236262154,19871,31965,0.4598221992059382,77.63104896714425,53966,140117,2.015607917601703,68.0231889061511,47287,109708,1.5781690546061338,16.194832844237297,11258,12158,0.17489498820415444
Both,2024-05,58481,78.54687847335032,45935,111887,1.9132196781860775,27.925309074742223,16331,23707,0.40537952497392316,29.512149245053948,17259,27565,0.471349669123305,77.05066602828269,45060,117373,2.0070279235991175,67.96737401891212,39748,91678,1.567654451873258,16.07872642396676,9403,10205,0.17450112002188745
Both,2024-06,66175,82.91650925576124,54870,124288,1.8781715149225537,44.50321118247072,29450,36372,0.5496335474121647,25.668303740083115,16986,26880,0.4061956932376275,75.20513789195316,49767,121443,1.8351794484321873,67.15678126180582,44441,105466,1.5937438609746883,15.141669814884775,10020,11085,0.1675103891197582
Both,2024-07,61833,73.04837222842171,45168,112038,1.8119450778710398,29.61525399058755,18312,25483,0.4121262109229699,28.86808015137548,17850,28241,0.4567302249607815,72.97074377759449,45120,114510,1.8519237300470623,64.0790516390924,39622,90996,1.4716413565571782,15.53539372179904,9606,10616,0.17168825707955299
Both,2024-08,62025,77.03829101168884,47783,118516,1.9107779121322048,26.723095525997582,16575,23359,0.3766062071745264,29.027005239822653,18004,28780,0.46400644901249494,74.71825876662636,46344,121849,1.9645143087464731,68.86094316807738,42711,96797,1.5606126561870213,19.250302297460703,11940,13075,0.21080209592906085
Both,2024-09,59917,83.12498956890364,49806,121090,2.0209623312248612,35.54416943438423,21297,28514,0.47589165011599377,30.62069195720747,18347,30895,0.5156299547707662,77.20012684213161,46256,117228,1.9565065006592453,74.28108883956139,44507,102667,1.7134869903366323,20.1695679022648,12085,13450,0.22447719345094047
Both,2024-10,66215,77.31329759118024,51193,124799,1.8847542097711998,33.14807823000831,21949,29304,0.4425583327040701,28.547912104508043,18903,29591,0.4468926980291475,74.00135920863853,49000,123735,1.8686853432001813,64.72249490296761,42856,102107,1.5420524050441742,16.792267613078607,11119,12354,0.18657403911500414
Both,2024-11,55931,81.77039566608858,45735,112187,2.005810731079366,35.50982460531726,19861,25995,0.4647690904864923,27.859326670361696,15582,24373,0.43576907260731973,79.63383454613721,44540,114954,2.0552824015304574,71.21989594321575,39834,95710,1.7112156049418032,16.842180543884428,9420,10576,0.1890901289088341
Both,2024-12,71269,85.21657382592713,60733,135681,1.9037870602926938,46.85206751883708,33391,40359,0.5662910943046766,22.803743563120012,16252,25305,0.35506321121385176,75.54336387489651,53839,129115,1.8116572422792518,67.69843831118719,48248,117099,1.643056588418527,14.803070058510713,10550,11653,0.163507275252915
Both,2025-01,7318,79.84421973216726,5843,12445,1.7006012571740914,47.0757037441924,3445,4026,0.5501503142935228,22.588138835747472,1653,2571,0.3513254987701558,71.83656736813337,5257,12932,1.7671494943973762,63.91090461874829,4677,10668,1.4577753484558622,13.30964744465701,974,1076,0.14703470893686799
Other,2012-02,2,100.0,2,4,2.0,0.0,0,0,0.0,50.0,1,1,0.5,100.0,2,2,1.0,100.0,2,4,2.0,0.0,0,0,0.0
Other,2013-06,1,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0
Other,2013-07,1,100.0,1,2,2.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,100.0,1,1,1.0,0.0,0,0,0.0
Other,2014-01,2,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0
Other,2014-03,1,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0
Other,2014-08,1,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0
Other,2014-09,2,100.0,2,3,1.5,0.0,0,0,0.0,0.0,0,0,0.0,50.0,1,1,0.5,50.0,1,1,0.5,0.0,0,0,0.0
Other,2014-10,1,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0
Other,2015-01,1,100.0,1,1,1.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0
Other,2015-02,1,100.0,1,3,3.0,0.0,0,0,0.0,0.0,0,0,0.0,100.0,1,1,1.0,0.0,0,0,0.0,0.0,0,0,0.0
Other,2015-03,2,100.0,2,9,4.5,0.0,0,0,0.0,0.0,0,0,0.0,50.0,1,1,0.5,100.0,2,6,3.0,0.0,0,0,0.0
Other,2015-04,5,80.0,4,8,1.6,0.0,0,0,0.0,0.0,0,0,0.0,40.0,2,2,0.4,60.0,3,3,0.6,0.0,0,0,0.0
